id,question,level_1_knowledge,level_2_knowledge,level_3_knowledge
0000c552-e49f-11eb-a058-d46a6a0f329c,"在$\triangle ABC$中,已知$a=2,$则$b\cdot cosC+c\cdot cosB=$____.",091c0222-fd12-11eb-b2a3-c502b9bed136,091c18ca-fd12-11eb-b2a3-c502b9bed136,091c2a68-fd12-11eb-b2a3-c502b9bed136
0000f51c-e4bc-11eb-aeb6-d46a6a0f329c,"集合$A={x\in R|$复数$1-x+(x-2)i$在复平面上对应点在第三象限},则集合$A=$( )",091afc06-fd12-11eb-b2a3-c502b9bed136,091bb024-fd12-11eb-b2a3-c502b9bed136,091bb178-fd12-11eb-b2a3-c502b9bed136
00010542-e4b9-11eb-a315-d46a6a0f329c,"某次考试,满分$100$分,按规定$x\geq 80$者为良好,$60\leq x<80$者为及格,小于$60$者不及格,画出当输入一个同学的成绩$x$时,输出这个同学属于良好、及格还是不及格的程序框图.",091be71a-fd12-11eb-b2a3-c502b9bed136,091be7ba-fd12-11eb-b2a3-c502b9bed136,091be85a-fd12-11eb-b2a3-c502b9bed136
0001df62-e4bc-11eb-9761-d46a6a0f329c,"若复数$z=(a2+2a-3)+(a-1)i(i$为虚数单位)为纯虚数,则实数$a$的值为( )",091afc06-fd12-11eb-b2a3-c502b9bed136,091bb024-fd12-11eb-b2a3-c502b9bed136,091bb178-fd12-11eb-b2a3-c502b9bed136
0001ef1a-e4b9-11eb-aef9-d46a6a0f329c,"一位商人有$9$枚银元,其中有$1$枚略轻的是假银元.你能用天平(无砝码)将假银元找出来吗?写出解决这一问题的算法.",091be71a-fd12-11eb-b2a3-c502b9bed136,091be7ba-fd12-11eb-b2a3-c502b9bed136,091be85a-fd12-11eb-b2a3-c502b9bed136
00023748-e4b9-11eb-be37-d46a6a0f329c,早上从起床到出门需要洗脸刷牙($5min)$、刷水壶($2min)$、烧水($8min)$、泡面($3min)$、吃饭($10min)$、听广播($8min)$几个步骤、从下列选项中选最好的一种算法,091be71a-fd12-11eb-b2a3-c502b9bed136,091be7ba-fd12-11eb-b2a3-c502b9bed136,091be85a-fd12-11eb-b2a3-c502b9bed136
0002ac76-e4b9-11eb-983c-d46a6a0f329c,写出$1\times2\times3\times4\times5\times6$的一个算法.,091be71a-fd12-11eb-b2a3-c502b9bed136,091be7ba-fd12-11eb-b2a3-c502b9bed136,091be85a-fd12-11eb-b2a3-c502b9bed136
0002cbc6-e4bc-11eb-aca6-d46a6a0f329c,"当$x$取何值时,复数$z=(x^{2}+x-2)i+(x^{2}+3x+2)i$($1$)是实数?($2$)是纯虚数?($3$)对应的点在第四象限?",091afc06-fd12-11eb-b2a3-c502b9bed136,091bb024-fd12-11eb-b2a3-c502b9bed136,091bb178-fd12-11eb-b2a3-c502b9bed136
0003180c-e4bc-11eb-991b-d46a6a0f329c,"设复数$z=log_{2}(m^{2}-3m-3)+ilog_{2}(3-m)(m\in R),$如果$z$是纯虚数,求$m$的值____.",091afc06-fd12-11eb-b2a3-c502b9bed136,091bb024-fd12-11eb-b2a3-c502b9bed136,091bb178-fd12-11eb-b2a3-c502b9bed136
000365ee-e4bc-11eb-8c73-d46a6a0f329c,求($1-2i)^{5}$的实部.,091afc06-fd12-11eb-b2a3-c502b9bed136,091bb024-fd12-11eb-b2a3-c502b9bed136,091bb178-fd12-11eb-b2a3-c502b9bed136
